ID,Y,X
6860196,19.3027188,-99.05639815
906113,19.33124094,-99.1617813
962400,19.37764229,-99.1470728
6471475,19.37622307,-99.17795335
6189290,19.35038102,-99.19727092
6186367,19.43130563,-99.17702951
6798169,19.42986434,-99.21234402
6305201,19.42960692,-99.20292418
6857746,19.39037197,-99.07173242
6186381,19.32029969,-99.05576509
6189287,19.43080424,-99.20229345
6189288,19.4308114,-99.20229088
6186378,19.39430094,-99.17211687
6806805,19.42971559,-99.20556607
6736759,19.42990776,-99.21136508
1030981,19.42224514,-99.14473104
876714,19.19321261,-98.99751529
936435,19.28631104,-99.10208211
720768,19.36354896,-99.08274201
724285,19.33360436,-99.074279
711683,19.37482571,-99.12943765
724286,19.33353269,-99.07388067
724248,19.33531372,-99.07390181
897726,19.42233099,-99.15015736
694164,19.44593089,-99.11119333
689667,19.43042465,-99.2101618
893598,19.45239132,-99.14602369
718748,19.38314757,-99.09307233
964840,19.38419798,-99.14872903
789327,19.47821552,-99.11113822
921869,19.34541692,-99.29890373
908615,19.32956033,-99.12539673
686636,19.43931885,-99.17263442
660415,19.42870504,-99.10770291
916691,19.26749754,-99.17366707
764570,19.44118639,-99.17902077
676193,19.47381738,-99.13567756
676196,19.47382888,-99.13566815
718752,19.38133382,-99.094254
1019978,19.43642244,-99.15999402
676195,19.47382468,-99.13567158
695674,19.43274619,-99.12359921
874660,19.43694592,-99.16640468
724065,19.33703985,-99.07477029
6857267,19.4379818,-99.1969569
724064,19.33811263,-99.07471165
664856,19.33863106,-99.11326648
902330,19.39654956,-99.16475023
6508308,19.42691499,-99.16666412
6861055,19.42447249,-99.20714149
810845,19.40892097,-99.07628023
935166,19.29903008,-99.12488627
6798244,19.29465181,-99.15623286
6872770,19.52275137,-99.16634509
6862874,19.42876526,-99.2043225
6885814,19.36352968,-99.28119096
6861371,19.43119197,-99.21268319
785813,19.47953787,-99.1194765
805216,19.46697019,-99.096264
847187,19.30116928,-99.05099141
1012641,19.43694592,-99.16640468
941034,19.2587751,-99.10696156
935355,19.29070737,-99.13127544
6509759,19.37392061,-99.16668866
694682,19.43484772,-99.10785583
1049046,19.27385862,-99.04150256
755321,19.50932298,-99.09114913
855733,19.45258548,-99.14100095
939837,19.24610364,-99.10231668
948284,19.23045528,-98.98291051
972761,19.26964794,-99.12705375
1052712,19.30183881,-99.02602885
733617,19.34178409,-99.00899827
1015883,19.28888889,-99.26444445
913087,19.30014074,-99.20927268
754694,19.40855333,-99.12146708
941579,19.2499269,-99.10708103
764905,19.43316271,-99.172849
970556,19.33301162,-99.14500866
718750,19.3794236,-99.09529444
732438,19.34779301,-99.01872315
907721,19.35276795,-99.13008703
904903,19.35661366,-99.15300199
982766,19.31917253,-99.1327718
927336,19.34073999,-99.21030009
728715,19.36871774,-99.00505952
728716,19.37338957,-99.00197418
919029,19.15353409,-99.16289559
6508297,19.42894539,-99.20454272
6870909,19.36369484,-99.28038632
6508296,19.42894539,-99.20454272
6144943,19.38175873,-99.14719605
6144825,19.38796808,-99.14029728
6144588,19.3898518,-99.14574853
6144538,19.42528188,-99.20433877
6144709,19.39634154,-99.15814432
6880170,19.44211381,-99.20291167
6144736,19.42960868,-99.17287796
6862149,19.43999718,-99.18561067
6144569,19.42685452,-99.19453469
781128,19.47984079,-99.1241849
925317,19.40201584,-99.19666287
933186,19.37755292,-99.17751576
6872297,19.34694767,-99.13423733
6378239,19.3592015,-99.27305935
6144418,19.47500625,-99.13215783
6310631,19.42734094,-99.20617391
6144933,19.27281952,-99.17528264
899670,19.4053149,-99.1715653
704508,19.40261926,-99.13052628
6144824,19.39208453,-99.14867121
867610,19.40227679,-99.16848382
6712933,19.37610004,-99.03534339
6766535,19.43309733,-99.18171661
846938,19.3676448,-99.11509853
6144738,19.42724141,-99.16240572
6859267,19.4069509,-99.19315567
6729176,19.2193255,-98.99315052
6144715,19.38483314,-99.1361366
6144866,19.42006465,-99.16391302
6862656,19.37804253,-99.17735134
6144386,19.40656409,-99.16458265
6886587,19.41948081,-99.16900868
6144819,19.39929672,-99.16788894
6144455,19.47226879,-99.09730184
6144471,19.36969289,-99.10795573
6863242,19.39611339,-99.16763876
870893,19.3918531,-99.17326972
1026658,19.42689313,-99.17087629
999466,19.35419556,-99.18542198
692115,19.40780534,-99.18734134
6144646,19.43607525,-99.17306009
6144631,19.3172498,-99.21202154
6862718,19.39592348,-99.18105215
6164717,19.37285285,-99.16081854
6144555,19.39759519,-99.06050019
6144789,19.38259082,-99.17654815
6858123,19.30338053,-99.20227347
690079,19.43464267,-99.18963151
6879837,19.38823898,-99.03089416
6858830,19.43630927,-99.18801364
6144468,19.36989569,-99.11950794
6509679,19.38466788,-99.13967339
984122,19.44591169,-99.13983657
953301,19.41433088,-99.14641557
6144591,19.39229271,-99.18211217
6860142,19.43566585,-99.16966416
6732820,19.36789099,-99.15914163
6799866,19.39846333,-99.09651348
968399,19.39431777,-99.13656676
6766522,19.404238,-99.1655151
6808228,19.31844809,-99.07444058
6144421,19.35507207,-99.16265868
6811249,19.43264463,-99.10020034
6879762,19.42440935,-99.16860274
956523,19.40936452,-99.16108885
704671,19.38717948,-99.13036428
6144528,19.43078611,-99.20148
6775410,19.28925516,-99.18322106
689400,19.43848738,-99.21165382
6144422,19.38192628,-99.16836874
746869,19.42761914,-99.10353997
927715,19.33868397,-99.20337286
6164658,19.27484655,-99.21775899
6144626,19.30696709,-99.07418218
6144660,19.43673102,-99.20390191
6858210,19.42632599,-99.16667188
6144547,19.47169202,-99.14014078
875349,19.29554574,-99.13280081
1060513,19.40304463,-99.08200673
6878715,19.38250543,-99.17679646
6144581,19.30677202,-99.21331812
6144452,19.47875151,-99.18412878
6144515,19.44737968,-99.09049287
6144425,19.47106486,-99.13001467
6858627,19.3582616,-99.27421208
839697,19.29830005,-99.07444685
6144612,19.38259517,-99.13559618
